0.43,5.25,133.07,-16188923904,126.83,126.93
0.434,4.97,123.1,-20641826816,121.75,121.86
0.438,4.7,117.73,-26319540224,116.6,116.7
0.442,4.42,115.05,-33558958080,111.37,111.47
0.446,4.14,106.23,-42789638144,106.08,106.17
0.45,3.85,100.86,-54559297536,100.71,100.8
0.454,3.56,93.19,-69566300160,95.29,95.37
0.458,3.28,89.35,-88701116416,89.8,89.88
0.462,2.98,83.99,-113099128832,84.25,84.33
0.466,2.69,79,-144208019456,78.66,78.73
0.47,2.4,70.95,-183873667072,73.01,73.08
0.474,2.1,68.26,-234449715200,67.31,67.38
0.478,1.8,63.28,-298937122816,61.58,61.64
0.482,1.5,54.84,-381162356736,55.8,55.86
0.486,1.2,50.24,-486004391936,49.99,50.05
0.49,0.9,41.8,-619684102144,44.15,44.2
0.494,0.6,34.9,-790133604352,38.28,38.33
0.498,0.3,31.06,-1007466708992,32.39,32.43
0.502,-0,27.23,-1284579131392,26.47,26.51
0.506,-0.3,19.94,-1637913722880,20.54,20.58
0.51,-0.6,11.12,-2088435974144,14.6,14.63
0.514,-0.9,2.68,-2662878412800,8.65,8.67
0.518,-1.2,-1.15,-3395326050304,2.69,2.71
0.522,-1.5,-7.67,-4329239740416,-3.27,-3.26
0.526,-1.8,-12.66,-5520034365440,-9.23,-9.22
0.53,-2.1,-18.02,-7038367694848,-15.18,-15.18
0.534,-2.4,-21.09,-8974332067840,-21.13,-21.12
0.538,-2.69,-21.48,-11442799509504,-27.06,-27.06
0.542,-2.98,-19.94,-14590239834112,-32.97,-32.97
0.546,-3.28,-29.15,-18603411767296,-38.86,-38.87
0.55,-3.56,-32.98,-23720439578624,-44.73,-44.74
0.554,-3.85,-42.18,-30244952080384,-50.57,-50.58
0.558,-4.14,-48.7,-38564087726080,-56.37,-56.39
0.562,-4.42,-50.62,-49171474153472,-62.14,-62.17
0.566,-4.7,-65.58,-62696514912256,-67.88,-67.91
0.57,-4.97,-67.5,-79941731352576,-73.56,-73.6
0.574,-5.25,-74.78,-101930395238400,-79.21,-79.25
0.578,-5.51,-80.53,-129967228715008,-84.8,-84.84
0.582,-5.78,-85.14,-165715843743744,-90.34,-90.39
0.586,-6.04,-91.66,-211297408909312,-95.82,-95.87
0.59,-6.3,-95.11,-269416587591680,-101.24,-101.3
0.594,-6.56,-100.48,-343521953316864,-106.6,-106.66
0.598,-6.81,-104.69,-438010629849088,-111.89,-111.95
0.602,-7.05,-109.68,-558489260785664,-117.11,-117.18
0.606,-7.3,-114.67,-712106517200896,-122.26,-122.33
0.61,-7.53,-121.18,-907977561210880,-127.32,-127.4
0.614,-7.76,-144.58,-1.15772467498189e+15,-132.31,-132.39
0.618,-7.99,-121.95,-1.4761668378624e+15,-137.22,-137.3
0.622,-8.21,-136.14,-1.88219935581798e+15,-142.03,-142.12
0.626,-8.43,-143.43,-2.39991444524237e+15,-146.76,-146.85
0.63,-8.64,-146.11,-3.06003159128474e+15,-151.4,-151.49
0.634,-8.85,-150.71,-3.90171982194278e+15,-155.94,-156.03
0.638,-9.05,-158.38,-4.97492182224077e+15,-160.38,-160.48
0.642,-9.25,-164.14,-6.34331719322829e+15,-164.72,-164.82
0.646,-9.44,-168.74,-8.08810148632986e+15,-168.95,-169.06
0.65,-9.62,-172.57,-1.03128038144737e+16,-173.08,-173.19
0.654,-9.8,-186.76,-1.31494299975025e+16,-177.1,-177.21
0.658,-9.97,-177.94,-1.67662949719081e+16,-181.01,-181.12
0.662,-10.13,-182.93,-2.13780085897953e+16,-184.8,-184.92
0.666,-10.29,-188.68,-2.72582139550106e+16,-188.48,-188.6
0.67,-10.44,-192.51,-3.47558202520371e+16,-192.04,-192.16
0.674,-10.59,-195.2,-4.43157087833293e+16,-195.48,-195.6
0.678,-10.73,-197.88,-5.6505126617088e+16,-198.79,-198.92
0.682,-10.86,-198.27,-7.20473548358943e+16,-201.98,-202.11
0.686,-10.98,-207.47,-9.18646088175452e+16,-205.04,-205.17
0.69,-11.1,-195.97,-1.17132760413372e+17,-207.97,-208.1
0.694,-11.21,-208.62,-1.49351148346671e+17,-210.77,-210.9
0.698,-11.32,-213.22,-1.90431462560891e+17,-213.43,-213.57
0.702,-11.41,-216.67,-2.42811268795204e+17,-215.96,-216.11
0.706,-11.5,-221.66,-3.09598628723294e+17,-218.36,-218.5
0.71,-11.58,-225.11,-3.94756422769836e+17,-220.61,-220.76
0.714,-11.66,-231.63,-5.03337594059227e+17,-222.73,-222.88
0.718,-11.73,-197.12,-6.41784937132851e+17,-224.71,-224.86
0.722,-11.79,-228.95,-8.18313453117637e+17,-226.54,-226.69
0.726,-11.84,-232.4,-1.04339763953559e+18,-228.23,-228.39
0.73,-11.89,-235.85,-1.33039312669036e+18,-229.78,-229.94
0.734,-11.92,-238.15,-1.69632928811188e+18,-231.18,-231.34
0.738,-11.95,-237.38,-2.16291941686444e+18,-232.44,-232.6
0.742,-11.98,-237,-2.75784894085752e+18,-233.55,-233.71
0.746,-11.99,-232.4,-3.51641933016832e+18,-234.51,-234.67
0.75,-12,-239.3,-4.48364074254729e+18,-235.33,-235.49
0.754,-12,-241.6,-5.71690521106317e+18,-235.99,-236.16
0.758,-11.99,-240.83,-7.28938935771306e+18,-236.51,-236.67
0.762,-11.98,-240.07,-9.29439938849748e+18,-236.88,-237.04
0.766,-11.95,-247.74,-1.18509035610534e+19,-237.09,-237.26
0.77,-11.92,-240.07,-1.51105970966186e+19,-237.16,-237.33
0.774,-11.89,-243.14,-1.926689838417e+19,-237.08,-237.25
0.778,-11.84,-240.83,-2.45664234837713e+19,-236.85,-237.01
0.782,-11.79,-240.45,-3.13236305219431e+19,-236.47,-236.63
0.786,-11.73,-242.75,-3.9939465209847e+19,-235.94,-236.1
0.79,-11.66,-241.6,-5.09251564739337e+19,-235.25,-235.42
0.794,-11.58,-236.62,-6.4932565175893e+19,-234.43,-234.59
0.798,-11.5,-232.01,-8.27928297473468e+19,-233.45,-233.62
0.802,-11.41,-239.3,-1.05565712271704e+20,-232.33,-232.49
0.806,-11.32,-241.6,-1.34602468559036e+20,-231.05,-231.22
0.81,-11.21,-237.38,-1.7162604212616e+20,-229.64,-229.8
0.814,-11.1,-233.55,-2.18833283593653e+20,-228.08,-228.24
0.818,-10.98,-232.78,-2.79025264803971e+20,-226.37,-226.53
0.822,-10.86,-231.63,-3.55773568960038e+20,-224.52,-224.68
0.826,-10.73,-228.18,-4.53632179710055e+20,-222.53,-222.69
0.83,-10.59,-227.03,-5.78407644348587e+20,-220.4,-220.56
0.834,-10.44,-224.34,-7.3750370474117e+20,-218.13,-218.29
0.838,-10.29,-220.13,-9.40360468656726e+20,-215.72,-215.88
